thesis_id,person_name_raw,person_name_standardized,relationship_category,evidence_snippet,pdf_page_number,printed_page_number,source_pdf_url,extraction_date
MIT-2020-001,Professor Vincent W. S. Chan,"Chan, Vincent W. S.",advisor,"my research advisor, Professor Vincent W. S. Chan, for his knowledge, expertise, support, and patience",5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Dr. Richard Barry,"Barry, Richard",committee,carving out time to join my thesis committee,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Professor Vivienne Sze,"Sze, Vivienne",committee,carving out time to join my thesis committee,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Lei Zhang,"Zhang, Lei",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Henna Huang,"Huang, Henna",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Matthew Carey,"Carey, Matthew",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Manishika Agaskar,"Agaskar, Manishika",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Shane Fink,"Fink, Shane",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Arman Rezaee,"Rezaee, Arman",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,John Metzger,"Metzger, John",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Antonia Feffer,"Feffer, Antonia",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Esther Jang,"Jang, Esther",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Andrew Song,"Song, Andrew",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-001,Junior Weerachai Neeranartvong,"Neeranartvong, Weerachai (Junior)",labmate,my fellow group mates,5,5,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,2026-08-06
MIT-2020-002,Dirk Englund,"Englund, Dirk",advisor,"my thesis advisor, Dirk Englund, for giving me the opportunity to conduct research in his lab",5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Karl Berggren,"Berggren, Karl",committee,"other members of my thesis committee, Karl Berggren and Paola Cappellaro",5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Paola Cappellaro,"Cappellaro, Paola",committee,"other members of my thesis committee, Karl Berggren and Paola Cappellaro",5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Tim Schröder,"Schröder, Tim",other,"special shout-out to my mentor, Tim Schröder, who helped me navigate entry into the lab",5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Luozhou Li,"Li, Luozhou",labmate,help from our diamond fab team,5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Jiabao Zheng,"Zheng, Jiabao",labmate,help from our diamond fab team,5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Sara Mouradian,"Mouradian, Sara",labmate,help from our diamond fab team,5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Noel Wan,"Wan, Noel",labmate,help from our diamond fab team,5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Kevin Chen,"Chen, Kevin",labmate,help from our diamond fab team,5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Eric Bersin,"Bersin, Eric",labmate,truly crucial member who helped bring the team together,5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-002,Professor Ruonan Han,"Han, Ruonan",collaborator,"who has been a valued collaborator, and taught me the design of cutting-edge CMOS technology",5,5,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,2026-08-06
MIT-2020-003,Lucia,Lucia,partner,I would like to thank my wonderful wife Lucia,4,4,https://dspace.mit.edu/server/api/core/bitstreams/2e7d8276-d958-4b57-96e9-662fc3cf4461/content,2026-08-06
MIT-2020-004,Prof. Karl Berggren,"Berggren, Karl",advisor,"My advisor, Prof. Karl Berggren, for his encouragement and guidance",5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Adam McCaughan,"McCaughan, Adam",other,for their invaluable mentorship during my first two years of graduate school,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Qing-Yuan Zhao,"Zhao, Qing-Yuan",other,for their invaluable mentorship during my first two years of graduate school,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Dorothy Fleischer,"Fleischer, Dorothy",other,for their generosity and for keeping all of us organized,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Lara Ranieri,"Ranieri, Lara",other,for their generosity and for keeping all of us organized,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Qing Hu,"Hu, Qing",other,for his mentorship and support throughout my time in graduate school,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Ken Segall,"Segall, Ken",other,sharing their knowledge with me and providing invaluable advice about technical aspects,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Tom Ohki,"Ohki, Tom",other,sharing their knowledge with me and providing invaluable advice about technical aspects,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Nancy Lynch,"Lynch, Nancy",other,sharing their knowledge with me and providing invaluable advice about technical aspects,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Graham Rowlands,"Rowlands, Graham",collaborator,My collaborators at Raytheon BBN Technologies,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Andrew Wagner,"Wagner, Andrew",collaborator,My collaborators at Raytheon BBN Technologies,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Guilhem Ribeill,"Ribeill, Guilhem",collaborator,My collaborators at Raytheon BBN Technologies,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,Minh-Hai Nguyen,"Nguyen, Minh-Hai",collaborator,My collaborators at Raytheon BBN Technologies,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
MIT-2020-004,James Daley,"Daley, James",other,technical assistance and for cheering up even the most distressing days in the cleanroom,5,5,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,2026-08-06
