thesis_id,school,department,degree,year_conferred,author_name_standardized,author_name_raw,title,advisor,official_record_url,official_pdf_url,pdf_public_status,source,retrieved_date,notes
MIT-2020-001,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D. in Computer Science and Engineering,2020,"Zheng, Xijia","Zheng, Xijia,Ph. D.Massachusetts Institute of Technology.",Cognitive optical network architecture in dynamic environments,"Chan, Vincent W.S.",https://hdl.handle.net/1721.1/126997,https://dspace.mit.edu/server/api/core/bitstreams/391cff7e-710e-45b5-9dec-78af25cfe869/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-002,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Walsh, Michael P","Walsh, Michael P.,Ph. D.Massachusetts Institute of Technology.",Statistical metrology and process control of quantum devices,"Englund, Dirk R.",https://hdl.handle.net/1721.1/126998,https://dspace.mit.edu/server/api/core/bitstreams/83254bff-5377-4e3a-ae84-5d0c67c49f50/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-003,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Stein, Gregory Joseph","Stein, Gregory Joseph.",Representations for intelligent navigation in unfamiliar environments,"Roy, Nicholas",https://hdl.handle.net/1721.1/127002,https://dspace.mit.edu/server/api/core/bitstreams/2e7d8276-d958-4b57-96e9-662fc3cf4461/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-004,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Toomey, Emily","Toomey, Emily.",Superconducting nanowire electronics for alternative computing,"Berggren, Karl K.",https://hdl.handle.net/1721.1/127003,https://dspace.mit.edu/server/api/core/bitstreams/3b92a227-d089-40f5-8bc1-c1f1798e5b5b/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-005,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Staib, Matthew James","Staib, Matthew James.",Learning and optimization in the face of data perturbations,"Jegelka, Stefanie",https://hdl.handle.net/1721.1/127004,https://dspace.mit.edu/server/api/core/bitstreams/f05ce200-7d30-4cad-996a-7623404468b4/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-006,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Sarkar, Tuhin","Sarkar, Tuhin.",Learning structure from unstructured data,"Dahleh, Munther A.",https://hdl.handle.net/1721.1/127005,https://dspace.mit.edu/server/api/core/bitstreams/a5410ca7-3484-4166-bcbe-6ec098f38daa/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-007,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Raghuraman, Srinivasan","Raghuraman, Srinivasan.",Infrastructures for secure multiparty computation,"Goldwasser, Shafrira",https://hdl.handle.net/1721.1/127006,https://dspace.mit.edu/server/api/core/bitstreams/b039f325-a7dc-4a39-8ec3-19dd0d7a1c5b/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-008,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Ramnarayan, Govind","Ramnarayan, Govind.",Distributed computation and inference,"Mossel, Elchanan",https://hdl.handle.net/1721.1/127007,https://dspace.mit.edu/server/api/core/bitstreams/1ac912b3-f1e7-4bf3-bd48-324331277413/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-009,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Qiu, David","Qiu, David.",Representation and transfer learning using information-theoretic approximations,"Zheng, Lizhong",https://hdl.handle.net/1721.1/127008,https://dspace.mit.edu/server/api/core/bitstreams/b198591f-0e70-49e5-a8a9-ad5bdd1b88be/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-010,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Ajjanagadde, Ganesh","Ajjanagadde, Ganesh.","Fourier analysis on the hypercube, the coefficient problem, and applications","Wornell, Gregory; Cohn, Henry",https://hdl.handle.net/1721.1/127011,https://dspace.mit.edu/server/api/core/bitstreams/588a29aa-bfb9-4501-91e7-8e6572a11301/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-011,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Apichitsopa, Nicha","Apichitsopa, Nicha.",Large-area cell-tracking cytometry for biophysical measurements of single cells,"Voldman, Joel",https://hdl.handle.net/1721.1/127012,https://dspace.mit.edu/server/api/core/bitstreams/668dcb10-3eeb-40c3-833d-481d5d1896c5/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-012,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Deng, Mo","Deng, Mo,Ph. D.Massachusetts Institute of Technology.",Deep learning with physical and power-spectral priors for robust image inversion,"Barbastathis, George",https://hdl.handle.net/1721.1/127013,https://dspace.mit.edu/server/api/core/bitstreams/30298951-5cc4-4288-afbc-cfb4d1fa8a99/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-013,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Claici, Sebastian","Claici, Sebastian.",Structure as simplification : transportation tools for understanding data,"Solomon, Justin",https://hdl.handle.net/1721.1/127014,https://dspace.mit.edu/server/api/core/bitstreams/0e7fa176-3776-4ff5-b1c5-77f3dfdfceba/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-014,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Dove, Justin","Dove, Justin(Justin Michael)",Theory of phasor-field imaging,"Shapiro, Jeffrey H.",https://hdl.handle.net/1721.1/127015,https://dspace.mit.edu/server/api/core/bitstreams/c60813fb-2bf2-4e8d-8d08-38ebe79867d2/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-015,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Dikkala, Sai Nishanth","Dikkala, Sai Nishanth.",Statistical inference from dependent data : networks and Markov chains,"Daskalakis, Constantinos",https://hdl.handle.net/1721.1/127016,https://dspace.mit.edu/server/api/core/bitstreams/a62a4fec-fc02-4abc-929a-bb1b379b94f2/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-016,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Foy, Christopher","Foy, Christopher,Ph. D.(Christopher C.)Massachusetts Institute of Technology.",Solid-state spin-integrated circuits for quantum sensing and control,"Englund, Dirk R.",https://hdl.handle.net/1721.1/127017,https://dspace.mit.edu/server/api/core/bitstreams/07b34e93-93a8-4a49-b701-8cf0654e94f3/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-017,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Jeong, Taehoon","Jeong, Taehoon.",Secure analog-to-digital conversion against power side-channel attack,"Chandrakasan, Anantha P.; Lee, Hae-Seung",https://hdl.handle.net/1721.1/127018,https://dspace.mit.edu/server/api/core/bitstreams/c2bc6f61-4cbc-4f66-b3ec-08950019a81e/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-018,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Garcha, Preetinder","Garcha, Preetinder(Preetinder Kaur)",Low power circuits with integrated magnetics for sensors and energy harvesting systems,"Chandrakasan, Anantha P.",https://hdl.handle.net/1721.1/127019,https://dspace.mit.edu/server/api/core/bitstreams/13c02101-aff5-4b0b-a0c3-bcbd15d75dc9/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-019,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Hsu, Chen-Yu","Hsu, Chen-Yu,Ph. D.Massachusetts Institute of Technology.",Passive sensing of user behavior and Well-being at home,"Katabi, Dina",https://hdl.handle.net/1721.1/127020,https://dspace.mit.edu/server/api/core/bitstreams/cc6731e6-5fa2-43ee-a3e3-58e2ff7d86f7/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-020,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Hsu, Wei-Ning","Hsu, Wei-Ning,Ph. D.Massachusetts Institute of Technology.",Speech processing with less supervision : learning from weak labels and multiple modalities,"Glass, James R.",https://hdl.handle.net/1721.1/127021,https://dspace.mit.edu/server/api/core/bitstreams/92445438-b823-4aa3-90a5-9870004098ac/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-021,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Lee, Hyo-Dong","Lee, Hyo-Dong.",Topographic deep artificial neural network as a model of primate ventral visual stream,"DiCarlo, James J.",https://hdl.handle.net/1721.1/127022,https://dspace.mit.edu/server/api/core/bitstreams/f0d36948-1aa1-4dec-aa25-7139b774e242/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-022,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Mahony, Thomas Stephen","Mahony, Thomas Stephen.",A hybrid approach towards on-chip visible lasers,"Bulović, Vladimir",https://hdl.handle.net/1721.1/127023,https://dspace.mit.edu/server/api/core/bitstreams/3faf32dc-f03d-474d-8b55-7102546be983/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-023,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"LaVigne, Rio","LaVigne, Rio(Kristen Rio)","Relationships between functionality, security, and privacy for multiparty computation, hashing, and encryption","Vaikuntanathan, Vinod; Williams, Virginia Vassilevska",https://hdl.handle.net/1721.1/127024,https://dspace.mit.edu/server/api/core/bitstreams/4b8cf102-297e-4981-a03f-ba19876ef8df/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-024,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Jevtić, Ana","Jevtić, Ana,Ph. D.Massachusetts Institute of Technology.",Cyber-attack detection and resilient state estimation in power systems,"Ilić, Marija",https://hdl.handle.net/1721.1/127025,https://dspace.mit.edu/server/api/core/bitstreams/d24f083d-a3db-4e34-9ee5-7196ab56cd64/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
